,Timestamp,Z1_mean,Z1_max,Z1_min,Z1_std,Z1_skew,Z1_kurtosis,Z1_peakTopeak,Z1_RMS,Z1_crestFactor,Z1_shapeFactor,Z1_impulseFactor,Z1_marginFactor,energy_Signal,spectrum_Mean,spectrum_Std,spectrum_Skew,spectrum_Kur,machine_Status_max,Temperature_avg,Current_avg,Current_max,Mould_life
524,2020/8/6 08:44,0.164735908,9.998779297,-10,0.683182162,0.623108934,139.1257037,19.9987793,0.703069169,14.22335162,2.788082874,60.22007368,157.2397095,0.02756839,84.34595521,44.04323271,0.662747612,0.768411882,1,34.8,120.5,122,3
525,2020/8/6 08:45,0.168938292,4.031982422,-5.183105469,0.154161411,-3.74353974,290.2798118,9.215087891,0.229306116,22.60343317,1.255842628,23.75227109,120.9366112,0.028815554,84.27318784,43.87775663,0.632414872,0.458501631,1,34.9,122,123,3
526,2020/8/6 08:46,0.168688241,4.9609375,-2.657470703,0.139689676,1.919781733,184.6868883,7.618408203,0.219951752,22.5546624,1.209985711,29.19938514,150.1306584,0.028865567,84.09302886,44.09406538,0.670469167,0.651827022,1,35,121,122,3
527,2020/8/6 08:47,0.169491885,5.054931641,-2.449951172,0.096814828,7.272678953,440.5934013,7.504882813,0.196664318,25.70334916,1.115310502,29.52933975,162.5757357,0.029303743,84.66195202,44.24294554,0.686848044,0.722527001,1,35.15,123.5,125,3
528,2020/8/6 08:48,0.170620027,3.2421875,-1.348876953,0.08174619,3.011595752,154.2902989,4.591064453,0.189956072,17.06809084,1.08221128,18.90854175,105.233951,0.02940087,84.59823425,44.13384464,0.703892848,1.297637198,1,35.25,128.5,134,3
529,2020/8/6 08:49,0.170420478,2.586669922,-2.769775391,0.077478377,-1.037905542,213.0223257,5.356445313,0.187570828,14.76655739,1.075130813,15.1425491,84.9831924,0.029179917,87.39159485,45.3589306,0.617628076,0.38009471,1,35.3,134.5,136,3
530,2020/8/6 08:50,0.170481263,2.152099609,-3.765869141,0.083784588,-4.466497888,322.4795431,5.91796875,0.189863674,19.83459532,1.087958788,12.63138978,70.66485901,0.029028358,83.49226104,43.26058849,0.601042347,0.143776894,1,35.35,122.5,123,3
531,2020/8/6 08:51,0.169060031,4.914550781,-6.239013672,0.106611631,-12.61978575,1228.530513,11.15356445,0.201569676,30.95214417,1.14856636,28.72862216,159.5679317,0.029264295,81.67314215,42.60918481,0.646201985,0.259653421,1,35.5,126.5,134,3
532,2020/8/6 08:52,0.169515201,1.278076172,-0.782470703,0.066667342,0.628497843,25.70758866,2.060546875,0.183652207,6.959220315,1.058970648,7.468691384,42.49445645,0.029283599,84.50813961,44.33971639,0.662521364,0.433109612,1,35.55,120,123,3
533,2020/8/6 08:53,0.171131888,1.392822266,-3.243408203,0.079840601,-9.429815708,334.7397277,4.636230469,0.187371318,17.31005705,1.077380778,8.216777323,46.0498185,0.028733489,87.15896185,45.64247211,0.893669134,4.544493232,1,35.6,120,124,3
534,2020/8/6 08:54,0.170576283,9.998779297,-8.002929688,0.847325082,-0.022976404,14.91904132,18.00170898,0.864927666,11.56024913,1.854934382,57.59368079,45.98799831,0.030140073,83.35698826,43.17193176,0.630716109,0.331902968,1,35.65,126,129,3
535,2020/8/6 08:55,0.170401951,4.229736328,-3.671875,0.091281116,-3.368005098,556.0444675,7.901611328,0.193099034,21.90449239,1.106746097,24.85716238,138.9469728,0.028954995,82.12525681,43.35198444,0.744620112,1.397451462,1,35.7,130,135,3
536,2020/8/6 08:56,0.172677955,1.704101563,-0.989990234,0.072691039,0.900101437,34.15888375,2.694091797,0.18711804,9.107093934,1.067702463,9.883347294,55.4836019,0.029729174,83.66731882,44.12101594,0.711632701,0.553227423,1,35.8,131.5,133,3
